time,v
0,9.864583543
5,6.957974761
10,5.250333475
15,4.427289346
20,3.552152718
25,3.204456572
30,2.587940252
35,2.479742493
40,2.142852506
45,1.95500418
50,1.812796955
55,1.553271825
60,1.407121442
65,1.225069721
70,0.622829194
75,1.067505245
80,1.122372381
85,1.121607153
90,0.841155123
95,0.96856401
100,0.944014498
105,0.917372959
110,0.720407279
115,0.738803713
120,0.732274961
125,0.62930052
130,0.745540856
135,0.60150182
140,0.756438652
145,0.629066407
150,0.685287186
155,0.460546884
160,0.43897619
165,0.580179045
170,1.358948604
175,0.501582318
180,0.331903281
185,0.369715679
190,0.574944739
195,0.28836102
200,0.529407567
205,0.349164366
210,0.320170353
215,0.268642306
220,0.332317618
225,0.278295851
230,0.297337043
235,1.066716679
240,0.492729134
245,0.404668972
250,0.266250601
255,0.278298757
260,0.44991347
265,0.453363205
270,0.197099445
275,0.183038118
280,0.320754676
285,0.146115381
290,0.228779883
295,0.276365651
300,0.242066644
305,0.24524555
310,0.152746341
315,0.232750952
320,0.337853406
325,0.281354055
330,0.311342308
335,0.257671863
340,0.210847451
345,0.251180451
350,0.249466894
355,0.294013875
360,0.205810944
365,0.18023619
370,0.280672028
375,0.34387505
380,0.34955721
385,0.111935128
390,0.050800504
395,0.324673266
400,0.328535136
405,0.32339482
410,0.153781164
415,0.203939884
420,0.24608529
425,0.235381552
430,0.198751469
435,0.043974824
440,0.603554183
445,0.019372639
450,0.296327345
455,0.100380759
460,0.223777194
465,0.081967779
470,0.088643546
475,0.137710568
480,0.078674976
485,0.041565232
490,0.201157085
495,0.23147024
500,0.23381731
